Date,Name,Year,Letterboxd URI
2024-01-02,Brokeback Mountain,2005,https://boxd.it/2b2q
2024-01-06,Marry My Dead Body,2022,https://boxd.it/BaQE
2024-01-10,The Bisexual,2018,https://boxd.it/ldRe
2024-01-28,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-01-30,Sharknado,2013,https://boxd.it/69Qc
2024-01-30,Sharknado 2: The Second One,2014,https://boxd.it/7hGQ
2024-02-03,The Rescue,2021,https://boxd.it/pmto
2024-02-17,Antiviral,2012,https://boxd.it/475Y
2024-03-15,Jesus Christ Superstar,1973,https://boxd.it/1RK8
2024-03-28,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-05-11,Django Unchained,2012,https://boxd.it/2cCk
2024-05-13,Inglourious Basterds,2009,https://boxd.it/1JzG
2024-05-23,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2024-05-23,Futurama: Bender's Big Score,2007,https://boxd.it/215Y
2024-05-24,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2024-05-26,Futurama: Bender's Game,2008,https://boxd.it/1Qx8
2024-05-30,Godzilla Minus One,2023,https://boxd.it/zu4c
2024-06-06,The Big Lebowski,1998,https://boxd.it/2b6C
2024-06-07,Mad Max 2,1981,https://boxd.it/1ZPg
2024-06-08,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2024-07-01,Madagascar,2005,https://boxd.it/29dc
2024-07-02,Summer Storm,2004,https://boxd.it/2axW
2024-07-24,Love Lies Bleeding,2024,https://boxd.it/zN4q
2024-08-02,The Promised Land,2023,https://boxd.it/B1hA
2024-08-03,Free Solo,2018,https://boxd.it/iEEq
2024-08-09,A Quiet Place: Day One,2024,https://boxd.it/sDAi
2024-08-12,Longlegs,2024,https://boxd.it/KzLM
2024-08-30,Alien: Romulus,2024,https://boxd.it/zGqO
2024-09-08,Alien,1979,https://boxd.it/2awY
2024-09-09,Aliens,1986,https://boxd.it/29PA
2024-09-09,How to Train Your Dragon 2,2014,https://boxd.it/2TRW
2024-09-17,Monty Python and the Holy Grail,1975,https://boxd.it/29GI
2024-09-17,Life of Brian,1979,https://boxd.it/2a4q
2024-09-29,Clueless,1995,https://boxd.it/1Ygk
2024-10-07,Twin Peaks,1989,https://boxd.it/g8pk
2024-10-07,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw
2024-10-18,The Substance,2024,https://boxd.it/zanS
2024-10-25,Airplane!,1980,https://boxd.it/29yu
2024-10-31,Twin Peaks: The Return,2017,https://boxd.it/hN9O
2024-10-31,I Saw the TV Glow,2024,https://boxd.it/woVe
2024-11-19,AlphaGo,2017,https://boxd.it/geTA
2024-11-24,Conclave,2024,https://boxd.it/AO8q
2024-11-28,Deadpool & Wolverine,2024,https://boxd.it/jq8s
2024-12-06,John Wick,2014,https://boxd.it/7dEc
2024-12-06,John Wick: Chapter 2,2017,https://boxd.it/ayGu
2024-12-30,How to Train Your Dragon,2010,https://boxd.it/1WRy
2025-01-02,Sonic the Hedgehog,2020,https://boxd.it/gdK8
2025-01-07,Sonic the Hedgehog 2,2022,https://boxd.it/pb8O
2025-01-17,Mulholland Drive,2001,https://boxd.it/297o
2025-01-18,The Straight Story,1999,https://boxd.it/2ass
2025-01-20,David Lynch Cooks Quinoa,2007,https://boxd.it/Ljok
2025-01-30,Sonic the Hedgehog 3,2024,https://boxd.it/zq0U
2025-02-23,The Elephant Man,1980,https://boxd.it/27LQ
2025-02-23,Eraserhead,1977,https://boxd.it/299u
2025-07-04,Ballerina,2025,https://boxd.it/jKqG
2025-07-04,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw
2025-07-04,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka
2025-07-20,Superman,2025,https://boxd.it/E9IU
2025-07-20,Dominion,2018,https://boxd.it/gXqy
