Date,Name,Year,Letterboxd URI,Rating
2023-07-21,Asteroid City,2023,https://boxd.it/s3ds,3.5
2023-07-27,The Death of Stalin,2017,https://boxd.it/ea9Y,3
2023-07-28,Barbie,2023,https://boxd.it/bCLK,5
2023-07-30,Hellbound: Hellraiser II,1988,https://boxd.it/1ZfW,3.5
2023-08-02,The Nice Guys,2016,https://boxd.it/94Hg,5
2023-08-02,Spirited Away,2001,https://boxd.it/2b4m,4
2023-08-03,Oppenheimer,2023,https://boxd.it/wUow,5
2023-09-05,Ford v Ferrari,2019,https://boxd.it/ce74,4.5
2023-09-12,Dracula,1931,https://boxd.it/2b34,4.5
2023-09-16,Renfield,2023,https://boxd.it/o8vy,3
2023-09-17,Shadow of the Vampire,2000,https://boxd.it/1Vb2,3.5
2023-09-17,Ed Wood,1994,https://boxd.it/2adM,5
2023-09-18,Glen or Glenda,1953,https://boxd.it/1yuq,5
2023-09-21,The Prestige,2006,https://boxd.it/293w,4
2023-09-22,The Pale Blue Eye,2022,https://boxd.it/u8tk,3.5
2023-09-29,Snowpiercer,2013,https://boxd.it/3Icg,2
2023-10-22,Howl's Moving Castle,2004,https://boxd.it/23De,3.5
2023-10-28,The Land Before Time,1988,https://boxd.it/1Sr2,5
2023-11-23,Fight Club,1999,https://boxd.it/2a9q,4
2023-12-29,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2024-01-02,Brokeback Mountain,2005,https://boxd.it/2b2q,5
2024-01-04,Leo,2023,https://boxd.it/EGzm,1.5
2024-01-06,Moxie,2021,https://boxd.it/lsQK,3
2024-01-06,Marry My Dead Body,2022,https://boxd.it/BaQE,5
2024-01-28,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2024-01-28,Full Metal Jacket,1987,https://boxd.it/2a1Q,3
2024-02-17,Antiviral,2012,https://boxd.it/475Y,3.5
2024-03-15,Jesus Christ Superstar,1973,https://boxd.it/1RK8,3
2024-03-16,Ricky Stanicky,2024,https://boxd.it/CFjo,2.5
2024-03-28,Anatomy of a Fall,2023,https://boxd.it/yuDE,3.5
2024-05-11,Django Unchained,2012,https://boxd.it/2cCk,4.5
2024-05-15,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,2.5
2024-05-15,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2024-05-23,Kill Bill: Vol. 1,2003,https://boxd.it/70w,5
2024-05-24,Futurama: The Beast with a Billion Backs,2008,https://boxd.it/1R5O,2
2024-05-24,Futurama: Bender's Big Score,2007,https://boxd.it/215Y,3
2024-05-24,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,5
2024-05-26,Futurama: Bender's Game,2008,https://boxd.it/1Qx8,3
2024-05-27,Futurama: Into the Wild Green Yonder,2009,https://boxd.it/1MTu,3
2024-05-30,Godzilla Minus One,2023,https://boxd.it/zu4c,5
2024-06-05,King Kong,1933,https://boxd.it/2aMM,3
2024-06-06,The Son of Kong,1933,https://boxd.it/VaG,1.5
2024-06-06,Godzilla × Kong: The New Empire,2024,https://boxd.it/v1PK,1
