Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-02-16,Batman v Superman: Dawn of Justice,2016,https://boxd.it/2AhW3r,4,,"oof, that was an experience. I kinda loved it tho

I went into this knowing the kind of hate this movie, Snyder and the DCEU in general are getting, and you know, after Man of Steel I „kinda“ understood it. Man of Steel was an interchangeable, Michael Bay-esque city destruction movie where nothing had any real consequences. Needless to say, I was extremely positively surprised to see that Snyder went on to address all that in the sequel.
Batman vs Superman is good. I actually happen to love this take on Batman, a bit rugged and rough on the edges, but still believes in his own moral superiority. I think it’s a logical evolution from the the previous versions we’ve seen on screen without loosing the core of the character. And I also happen to love the dilemma of how a god-like being like Superman could possibly fit into a human society. Where the movie falls short a bit, in my opinion, is how it concludes those storylines. The infamous „Martha“ scene wasn’t the best decision, granted, but apart from that part I think the movie does a pretty good job. I was genuinely invested in the characters in the end, something that I cannot say about Man of Steel. This was a huge step up and I believe this movie deserves more love than it’s getting.",dceu,2022-02-16
2022-02-17,Suicide Squad,2016,https://boxd.it/2At9wX,1.5,,wayy too many characters and wayy too little time spent to develop them + tonally all over the place. what a hot mess (in a negative way),dceu,2022-02-17
2022-02-19,Wonder Woman,2017,https://boxd.it/2AKO0x,3.5,,this was good!! I am starting to think that the DCEU hate and ridicule are completely unjustified. Better than a lot if Marvel Movies.,dceu,2022-02-18
2022-02-19,Little Miss Sunshine,2006,https://boxd.it/2ANEe1,5,Yes,"like steve carell in this movie, I am also a depressed homosexual",,2022-02-19
2022-02-24,Justice League,2017,https://boxd.it/2BLs9N,1,,"at least suicide squad had an idea of what it wanted to be and failed, this just failed without ever even trying… it’s one meaningless action sequence after another, the story is very much „meh“ and it quite possibility has the most underwhelming, uninteresting villain in any comic book movie ever…. this sucks man, hard",dceu,2022-02-24
2022-03-10,Aquaman,2018,https://boxd.it/2EgaOj,3.5,,"I didn’t like it at first but oh man did this movie turn me around… it’s just so batshit crazy and hilarious you cannot not love it!!! have you ever seen an army of sharks fight a giant crab-squid before??? me neither!!! holy shit this movie BANGS

(it’s also a bit stupid (if that wasn’t clear from what I said above) but it doesn’t really matter in the end bc this is a freaking good time!)",dceu,2022-03-09
2022-03-12,The Batman,2022,https://boxd.it/2EAPiN,5,,it’s called the batman because this is THE batman,,2022-03-12
2022-03-15,Shazam!,2019,https://boxd.it/2FhQZf,5,,"5/5 movie right there! exciting, fun, and so heartfelt, I loved every second of it! this was the whole package man, the best I‘ve seen out of the DCEU so far!!

.
.
SPOILER WARNING FOR WHATS GONNA BE WRITTEN BELOW THIS
.
YOU HAVE BEEN WARNED
.
SPOILER BELOW
.
I HOPE YOU‘VE ALREADY SEEN THE MOVIE
.
if that caterpillar is not the villain in the next movie I am gonna be so mad, because I am already emotionally attached to it. go caterpillar 🐛",dceu,2022-03-15
2022-03-16,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/2FsHAd,3.5,,fun!!!! expanding my list of future pet ideas,,2022-03-16
2022-03-19,Fright Night,2011,https://boxd.it/2FRBLT,4,,this was so needlessly sexual and I love it,,2022-03-18
2022-03-26,Wonder Woman 1984,2020,https://boxd.it/2HhMGL,3.5,,"I would simply wish for unlimited wishes without drawbacks, then I can reverse everything the first wish did. everyone in this movie is stupid.",,2022-03-26
2022-03-27,Bo Burnham: What.,2013,https://boxd.it/2Hr06P,5,,how do you even write sth like this?? It’s so smart like wow,bo burnham,2022-03-26
2022-03-27,Bo Burnham: Make Happy,2016,https://boxd.it/2Hr2XB,4.5,,how did a song about the width of pringle cans absolutely emotionally break me,bo burnham,2022-03-26
2022-04-06,Life of Pi,2012,https://boxd.it/2JjIgh,4,,I watched it yesterday night and I am still processing it. Damn. It feels like an incredibly beautiful punch in the guts; I absolutely adored it and still it left me completely devastated. I’ll probably forever regret not seeing this in cinemas.,,2022-04-05
2022-04-13,Hunt for the Wilderpeople,2016,https://boxd.it/2Ktemt,4,,this is why I’m scared of boars,,2022-04-13
2022-04-25,What We Do in the Shadows,2014,https://boxd.it/2MIfTB,4,Yes,"INSANELY quotable 

also I just now realised how much S1 of the show draws inspiration from this masterpiece",,2022-04-25
2022-04-29,Zack Snyder's Justice League,2021,https://boxd.it/2NmzPf,3,,zack snyder vs the ability to make good movies that are less than 150 minutes long,,2022-04-29
2022-04-30,The Suicide Squad,2021,https://boxd.it/2NvbLL,3.5,,Ratcatcher 2 my beloved,,2022-04-30
2022-05-04,In My Skin,2002,https://boxd.it/2OeAFX,4.5,,relatable,,2022-05-04
2022-05-04,Tusk,2014,https://boxd.it/2Ofkkh,1,,that’s 2 hours i’ll never get back,,2022-05-04
2022-05-07,A Cure for Wellness,2016,https://boxd.it/2OJnOJ,3,,"that’s it
*books trip to switzerland*",,2022-05-07
2022-05-11,Sherlock: A Study in Pink,2010,https://boxd.it/2PvOJ3,4,,whoever did the subtiles for the version on prime video wrote “inaudible” a lot of times when they were just speaking with an english dialect,bbcsherlock,2022-05-08
2022-05-11,Sherlock: The Blind Banker,2010,https://boxd.it/2PvQ0f,4,,I love the gays,bbcsherlock,2022-05-09
2022-05-11,Sherlock: The Great Game,2010,https://boxd.it/2PvSIj,5,,andrew scott I would call you back if you left me your number,bbcsherlock,2022-05-10
2022-05-12,Sherlock: A Scandal in Belgravia,2012,https://boxd.it/2PCTJ7,3.5,,the less gay they make it the lower I rate it I am sorry,bbcsherlock,
2022-05-12,Sherlock: The Hounds of Baskerville,2012,https://boxd.it/2PFWqX,4,,Mulder and Scully look different here,bbcsherlock,2022-05-12
2022-05-13,Sherlock: The Reichenbach Fall,2012,https://boxd.it/2PPEjf,5,,holy fucking SHIT,bbcsherlock,2022-05-13
2022-05-15,Sherlock: The Empty Hearse,2014,https://boxd.it/2Q8zHz,3,,for the first 2 minutes I thought the show was gonna gaslight me really bad and I’m very glad it ended up going a different route,bbcsherlock,2022-05-14
2022-05-16,Sherlock: The Sign of Three,2014,https://boxd.it/2QlgBD,5,,this is both the happiest and the saddest I have ever been,bbcsherlock,2022-05-15
2022-05-16,Sherlock: His Last Vow,2014,https://boxd.it/2Qng3v,4,,John Watson deserves so much better but ohmyfuckunggod that finale,bbcsherlock,2022-05-16
